Country Name,GDP Per Capita,Max Inflation Rate,Min Government Net Lending-Borrowing Ratio,Total Exports to China,Total Imports from China,Geographic proximity to China,Population Size,Swap Recipient
Afghanistan,534.00,26.4,-3.9,0,0,2060.00,28.40,0.00
Albania,4662.00,6.7,-6.7,0,0,4375.00,2.90,1.00
Algeria,4501.00,9.3,-15.7,0.1,0.3,5742.00,40.00,0.00
Andorra,44388.00,6.2,-3.5,0,0,5157.00,0.10,0.00
Angola,3248.00,30.7,-7.9,1.3,0.1,6467.00,28.30,0.00
Antigua and Barbuda,15222.00,7.5,-17.8,0,0,8667.00,0.10,0.00
Argentina,11498.00,72.4,-8.6,0.4,0.4,11743.00,43.10,1.00
Armenia,3929.00,9.1,-7.7,0,0,3176.00,3.00,1.00
Aruba,27655.00,9,-16,0,0,9072.00,0.10,0.00
Australia,56484.00,6.6,-8.7,4.9,1.8,4644.00,23.90,1.00
Azerbaijan,5681.00,20.8,-6.7,0,0,3045.00,9.60,0.00
Bahamas,28580.00,5.6,-13.6,0,0,8228.00,0.40,0.00
Bahrain,23963.00,3.6,-18.3,0,0,3209.00,1.40,0.00
Bangladesh,1386.00,9.9,-5.4,0,0.6,1179.00,156.20,0.00
Barbados,17217.00,9.4,-10.2,0,0,8885.00,0.30,0.00
Belarus,6543.00,59.2,-10.9,0,0.1,3738.00,9.40,1.00
Belize,5835.00,6.4,-8.4,0,0,8678.00,0.40,0.00
Benin,1143.00,7,-5.7,0,0.1,6495.00,11.00,0.00
Bhutan,2665.00,10.1,-7.5,0,0,992.00,0.70,0.00
Bolivia Plurinational State of,2765.00,14,-12.7,0,0,10890.00,10.80,0.00
Bosnia and Herzegovina,5295.00,14,-5.3,0,0,4407.00,3.60,0.00
Botswana,6344.00,12.6,-13.8,0,0,6560.00,2.30,0.00
Brazil,9888.00,9.3,-13.3,3.2,1.4,10335.00,203.20,1.00
Brunei Darussalam,34554.00,3.7,-21.7,0,0,2266.00,0.40,0.00
Bulgaria,8340.00,13,-3.8,0,0.1,4081.00,7.20,0.00
Burkina Faso,724.00,14.1,-10.4,0,0,6578.00,18.80,0.00
Burundi,233.00,24.4,-12.1,0,0,5483.00,10.30,0.00
Cabo Verde,3606.00,7.9,-10.5,0,0,7536.00,0.50,0.00
Cambodia,1176.00,25,-7.1,0,0.2,1611.00,15.00,0.00
Cameroon,1505.00,5.3,-5.9,0,0.1,6023.00,23.40,0.00
Canada,47379.00,6.8,-10.9,1.3,1.4,5832.00,35.90,1.00
Central African Republic,432.00,17.8,-6,0,0,5574.00,4.60,0.00
Chad,820.00,10.1,-9.2,0,0,5349.00,14.20,0.00
Chile,14036.00,11.6,-7.5,1.2,0.6,12198.00,18.20,1.00
Colombia,6601.00,10.2,-7.2,0.2,0.3,9641.00,46.90,0.00
Comoros,1478.00,12,-5.5,0,0,5143.00,0.80,0.00
Congo,447.00,46.1,-17.8,0.2,0,6136.00,4.20,0.00
Congo Democratic Republic of the,2710.00,6,-2,0.2,0.1,5960.00,78.10,0.00
Costa Rica,10537.00,13.4,-8.4,0.1,0.1,9243.00,4.80,0.00
Côte d'Ivoire,1997.00,5.2,-6.7,0,0.1,6994.00,23.90,0.00
Croatia,14294.00,10.7,-7.6,0,0.1,4481.00,4.20,0.00
Cuba,7395.00,70,,0,0.1,8470.00,11.30,0.00
Czech Republic,21310.00,15.1,-5.8,0.2,0.4,4330.00,10.50,0.00
Denmark,60012.00,8.5,-3.5,0.2,0.3,4369.00,5.70,0.00
Djibouti,2130.00,8.7,-15.5,0,0.1,4158.00,0.90,0.00
Dominica,7461.00,7.5,-18.7,0,0,8770.00,0.10,0.00
Dominican Republic,6678.00,10.6,-7.9,0,0.1,8646.00,10.00,0.00
Ecuador,5648.00,8.4,-10.1,0.1,0.1,10081.00,16.30,0.00
Egypt,2915.00,23.5,-12.3,0.1,0.5,4277.00,89.50,1.00
El Salvador,3679.00,7.3,-8.2,0,0,8901.00,6.20,0.00
Equatorial Guinea,12652.00,5.7,-15.1,0.1,0,6372.00,1.20,0.00
Eritrea,579.00,33.9,-31.6,0,0,4186.00,3.40,0.00
Eswatini,3791.00,12.7,-9.5,0,0,7243.00,1.10,0.00
Ethiopia,601.00,44.4,-4.2,0,0.1,4381.00,89.20,0.00
European Central Bank,38742.00,8.4,-7.1,10.2,12.6,4520.00,342.60,1.00
Fiji,4775.00,7.7,-13.6,0,0,6075.00,0.90,0.00
Gabon,8208.00,5.3,-4.7,0.1,0,6396.00,1.90,0.00
Gambia,700.00,11.5,-6.2,0,0,7227.00,2.10,0.00
Georgia,4166.00,11.9,-9.3,0,0,3224.00,3.70,0.00
Ghana,1806.00,31.9,-17.4,0.1,0.2,6733.00,27.60,0.00
Grenada,8069.00,8,-6.8,0,0,8996.00,0.10,0.00
Guatemala,3828.00,11.4,-4.9,0,0.1,8746.00,16.30,0.00
Guinea,822.00,21.4,-9.7,0.1,0,7105.00,12.40,0.00
Guinea-Bissau,653.00,10.4,-9.6,0,0,7298.00,1.60,0.00
Guyana,5824.00,8.1,-7.8,0,0,9418.00,0.80,0.00
Haiti,1365.00,27.6,-4,0,0,8641.00,10.90,0.00
Honduras,2200.00,11.4,-5.7,0,0,8843.00,9.10,0.00
Hong Kong China,40747.00,5.3,-9.2,0.7,13.1,1105.00,7.30,1.00
Hungary,14703.00,14.5,-7.5,0.2,0.3,4234.00,9.90,1.00
Iceland,56913.00,12.7,-12.1,0,0,4833.00,0.30,1.00
India,1626.00,12.3,-12.9,1,2.7,1854.00,1319.90,0.00
Indonesia,3489.00,9.9,-6.1,1.7,1.6,2609.00,254.30,1.00
Iran Islamic Republic of,5460.00,49,-5.8,1,0.6,2866.00,79.00,0.00
Iraq,5094.00,6.1,-14.5,0.8,0.3,3393.00,35.50,0.00
Israel,37954.00,4.6,-10.8,0.2,0.4,3927.00,8.40,0.00
Jamaica,5127.00,22,-11.1,0,0,8707.00,2.70,0.00
Japan,41185.00,2.8,-9.7,9.5,6.5,1893.00,126.80,1.00
Jordan,4050.00,12.7,-14.3,0,0.1,3866.00,8.90,0.00
Kazakhstan,10143.00,17.1,-7,0.5,0.5,2066.00,17.70,1.00
Kenya,1491.00,15.1,-8.1,0,0.2,4905.00,43.50,0.00
Kiribati,1520.00,13.7,-19.8,0,0,6614.00,0.10,0.00
Korea Republic of,28020.00,5.1,-2.2,0.1,4.4,1316.00,50.80,1.00
Kosovo,3789.00,11.7,-7.9,9.3,0,4298.00,1.80,0.00
Kuwait,37769.00,6.3,-11.4,0.5,0.1,3287.00,4.20,0.00
Kyrgyzstan,1160.00,24.5,-5.9,0,0.3,1624.00,5.90,0.00
Lao People's Democratic Republic,1917.00,23,-5.6,0.1,0.1,1110.00,6.80,0.00
Lebanon,7549.00,84.9,-11.3,0,0.1,3794.00,6.10,0.00
Lesotho,1074.00,10.7,-9.9,0,0,6689.00,2.00,0.00
Liberia,630.00,27,-7.1,0,0.1,7248.00,4.50,0.00
Libya State of,10165.00,25.9,-30.5,0.2,0.1,5019.00,6.30,0.00
Liechtenstein,162065.00,3,,0,0,4653.00,0.00,0.00
Macao SAR China,65735.00,8.6,-35.9,0,0.1,1099.00,0.60,1.00
Madagascar,494.00,9.5,-6.8,0,0,5317.00,23.70,0.00
Malawi,580.00,28.3,-10.4,0,0,5675.00,18.20,0.00
Malaysia,9978.00,5.4,-5.9,3.3,1.9,2192.00,30.80,1.00
Maldives,8664.00,12,-23.5,0,0,3054.00,0.30,0.00
Mali,777.00,10.1,-5.4,0,0,6473.00,18.30,0.00
Marshall Islands,4040.00,14.7,-2.8,0,0.1,4140.00,0.10,0.00
Mauritania,1749.00,9.6,-3.6,0.1,0,6660.00,3.70,0.00
Mauritius,9528.00,10.8,-10.4,0,0,4937.00,1.30,0.00
Mexico,9789.00,7.9,-4.5,0.6,1.5,7970.00,120.90,0.00
Micronesia Federated States of,3093.00,8.2,-1.5,0,0,3946.00,0.10,0.00
Moldova Republic of,3305.00,28.6,-6.4,0,0,3838.00,2.80,0.00
Monaco,184970.00,2.5,,0,0,4862.00,0.00,0.00
Mongolia,3702.00,28,-15.3,0.2,0.1,761.00,3.10,1.00
Montenegro,7538.00,13,-10.9,0,0,4366.00,0.60,0.00
Morocco,3303.00,6.6,-7.1,0,0.2,5986.00,34.10,1.00
Mozambique,547.00,17.4,-9.9,0,0.1,5855.00,27.30,0.00
Myanmar,1096.00,20.9,-11,0.2,0.3,1084.00,51.20,0.00
Namibia,5136.00,9.5,-9.3,0,0,6905.00,2.30,0.00
Nauru,8263.00,22.4,0.1,0,0,4735.00,0.00,0.00
Nepal,876.00,12.6,-5.8,0,0.1,1279.00,28.10,0.00
New Caledonia,36271.00,2.4,,0,0,5610.00,0.30,0.00
New Zealand,39889.00,7.2,-5.5,0.4,0.2,6939.00,4.70,1.00
Nicaragua,1828.00,19.8,-3,0,0,9014.00,6.20,0.00
Niger,522.00,11.3,-6.9,0,0,5842.00,20.30,0.00
Nigeria,2369.00,18.8,-6,0.1,0.6,6157.00,182.00,1.00
North Macedonia,5348.00,14.2,-8,0,0,4287.00,2.10,0.00
Norway,86476.00,5.8,-2.6,0.2,0.1,4282.00,5.10,0.00
Oman,20567.00,12.6,-19.6,0.9,0.1,3055.00,4.00,0.00
Pakistan,1243.00,19.6,-7.8,0.1,0.6,2041.00,197.50,1.00
Palau,13224.00,9.9,-16.3,0,0,2741.00,0.00,0.00
Panama,12324.00,8.8,-10.4,0,0.5,9352.00,4.00,0.00
Papua New Guinea,2355.00,10.8,-8.9,0.1,0,3890.00,7.80,0.00
Paraguay,5612.00,10.2,-7.2,0,0.1,11090.00,6.80,0.00
Peru,6043.00,7.9,-9,0.6,0.3,10593.00,31.30,0.00
Philippines,2811.00,8.2,-6.3,1.1,1.2,1928.00,100.90,0.00
Poland,14023.00,14.4,-7.5,0.2,0.8,4126.00,38.00,0.00
Puerto Rico,29277.00,5.2,-3.1,0,0,8652.00,3.50,0.00
Qatar,73462.00,15.1,-4.9,0.4,0.1,3196.00,2.30,1.00
Romania,10567.00,13.8,-9.6,0.1,0.2,4024.00,19.80,0.00
Russian Federation,11787.00,15.5,-5.9,2.5,2,1774.00,144.90,1.00
Rwanda,705.00,15.4,-9.5,0,0,5425.00,11.30,0.00
Saint Kitts and Nevis,19151.00,5.8,-6.3,0,0,8663.00,0.10,0.00
Saint Lucia,9761.00,6.7,-11.7,0,0,8864.00,0.20,0.00
Saint Vincent and the Grenadines,7443.00,10.1,-7.6,0,0,8912.00,0.10,0.00
Samoa,3895.00,14.6,-7.4,0,0,6428.00,0.20,0.00
San Marino,52508.00,7.1,-37.6,0,0,4637.00,0.00,0.00
Sao Tome and Principe,1615.00,32,-19.3,0,0,6635.00,0.20,0.00
Saudi Arabia,21408.00,6.1,-15.5,2.3,0.9,3583.00,30.90,0.00
Senegal,1396.00,9.7,-6.4,0,0.1,7135.00,14.70,0.00
Serbia,6748.00,12.4,-7.2,0,0,4254.00,7.10,1.00
Seychelles,13631.00,37,-16.3,0,0,4213.00,0.10,0.00
Sierra Leone,515.00,27.2,-10.9,0,0,7280.00,7.20,0.00
Singapore,56839.00,6.6,-6.8,1.6,2.1,2384.00,5.40,1.00
Sint Maarten (Dutch part),29741.00,6,,0,0,8620.00,0.00,0.00
Solomon Islands,2076.00,17.3,-4.1,0,0,4807.00,0.60,0.00
Somalia,375.00,6.8,-1.1,0,0,4235.00,13.00,0.00
South Africa,6949.00,11,-9.6,1.5,0.7,6982.00,55.40,1.00
South Sudan,1320.00,346.1,-18.2,0.1,0,4983.00,11.90,0.00
Sri Lanka,3557.00,46.4,-12.1,0,0.2,2434.00,21.10,1.00
Sudan,1662.00,359.1,-10.8,0.2,0.1,4809.00,39.90,0.00
Suriname,7204.00,59.1,-18.6,0,0,9405.00,0.60,1.00
Sweden,55266.00,8.1,-2.8,0.4,0.3,3964.00,9.90,0.00
Switzerland,83558.00,2.8,-3,1.6,0.2,4720.00,8.20,1.00
Syrian Arab Republic,3171.00,15.2,-7.8,0,0.1,3604.00,22.00,0.00
Taipei Chinese,23243.00,3.5,-6.2,8.4,2,1307.00,23.40,0.00
Tajikistan,869.00,20.4,-9,0,0.1,1810.00,8.60,1.00
Tanzania United Republic of,917.00,16,-4.7,0,0.1,5342.00,50.40,0.00
Thailand,5950.00,6.1,-7,2.2,1.6,1396.00,68.60,1.00
Timor-Leste,1262.00,13.2,-55.4,0,0,3402.00,1.20,0.00
Togo,807.00,7.7,-7.4,0,0.1,6605.00,7.50,0.00
Tonga,4082.00,9.6,-6,0,0,6569.00,0.10,0.00
Trinidad and Tobago,17047.00,12,-11.7,0,0,9083.00,1.40,0.00
Tunisia,3961.00,8.3,-9,0,0.1,5128.00,11.30,0.00
Türkiye,10480.00,72.3,-5.8,0.2,0.8,3697.00,78.70,1.00
Turkmenistan,6147.00,19.5,-2.3,0.3,0,2435.00,5.60,0.00
Tuvalu,3860.00,11.5,-23.4,0,0,5668.00,0.00,0.00
Uganda,799.00,18.7,-7.5,0,0,5154.00,35.80,0.00
Ukraine,3362.00,48.7,-16.7,0.2,0.3,3695.00,43.00,1.00
United Arab Emirates,42042.00,12.3,-6.6,0.7,1.4,3107.00,8.90,1.00
United Kingdom,42948.00,9.1,-13,1,2.5,4834.00,65.00,1.00
United States of America,56494.00,8,-14,7.5,17.6,7237.00,320.30,0.00
Uruguay,15889.00,9.8,-4.7,0.1,0.1,11271.00,3.50,0.00
Uzbekistan,1995.00,17.5,-4.6,0.1,0.1,2153.00,31.10,1.00
Vanuatu,2856.00,5.3,-9,0,0,5412.00,0.30,0.00
Venezuela Bolivarian Republic of,6614.00,65374.10,-30.3,0.4,0.2,9455.00,28.90,0.00
Viet Nam,2542.00,23.1,-6,1.9,2.7,1527.00,92.20,0.00
West Bank and Gaza,3139.00,9.9,-7.7,0,0,3877.00,4.60,0.00
Yemen,1084.00,33.6,-10.2,0.1,0.1,3684.00,28.10,0.00
Zambia,1417.00,22,-13.8,0.2,0,6008.00,16.30,0.00
Zimbabwe,1293.00,557.2,-10.6,0,0,6191.00,13.90,0.00