Title,"Inflation, consumer prices (annual %)",,,,,,,,,,,,,,,,,,,,
Data Source,World Bank Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/29/23,,,,,,,,,,,,,,,,,,,,
Link,https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,WLD,3.0 ,3.5 ,4.1 ,4.3 ,4.8 ,8.9 ,2.9 ,3.3 ,4.8 ,3.7 ,2.6 ,2.3 ,1.4 ,1.6 ,2.2 ,2.4 ,2.2 ,1.9 ,3.5 ,8.3 
Afghanistan,AFG,,,12.7 ,6.8 ,8.7 ,26.4 ,-6.8 ,2.2 ,11.8 ,6.4 ,7.4 ,4.7 ,-0.7 ,4.4 ,5.0 ,0.6 ,2.3 ,,,
Albania,ALB,0.5 ,2.3 ,2.4 ,2.4 ,2.9 ,3.3 ,2.3 ,3.6 ,3.4 ,2.0 ,1.9 ,1.6 ,1.9 ,1.3 ,2.0 ,2.0 ,1.4 ,1.6 ,2.0 ,6.7 
Algeria,DZA,4.3 ,4.0 ,1.4 ,2.3 ,3.7 ,4.9 ,5.7 ,3.9 ,4.5 ,8.9 ,3.3 ,2.9 ,4.8 ,6.4 ,5.6 ,4.3 ,2.0 ,2.4 ,7.2 ,9.3 
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,
Angola,AGO,98.2 ,43.5 ,23.0 ,13.3 ,12.3 ,12.5 ,13.7 ,14.5 ,13.5 ,10.3 ,8.8 ,7.3 ,9.4 ,30.7 ,29.8 ,19.6 ,17.1 ,22.3 ,25.8 ,
Antigua and Barbuda,ATG,2.0 ,2.0 ,2.1 ,1.8 ,1.4 ,5.3 ,-0.6 ,3.4 ,3.5 ,3.4 ,1.1 ,1.1 ,1.0 ,-0.5 ,2.4 ,1.2 ,1.4 ,0.6 ,2.1 ,7.5 
Argentina,ARG,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,4.7 ,7.0 ,0.6 ,2.9 ,4.4 ,8.9 ,3.4 ,8.2 ,7.7 ,2.6 ,5.8 ,3.0 ,3.7 ,-1.4 ,1.0 ,2.5 ,1.4 ,1.2 ,7.2 ,8.6 
Aruba,ABW,3.7 ,2.5 ,3.4 ,3.6 ,5.4 ,9.0 ,-2.1 ,2.1 ,4.3 ,0.6 ,-2.4 ,0.4 ,0.5 ,-0.9 ,-1.0 ,3.6 ,4.3 ,,,
Australia,AUS,2.7 ,2.3 ,2.7 ,3.6 ,2.3 ,4.4 ,1.8 ,2.9 ,3.3 ,1.8 ,2.4 ,2.5 ,1.5 ,1.3 ,1.9 ,1.9 ,1.6 ,0.8 ,2.9 ,6.6 
Azerbaijan,AZE,2.2 ,6.7 ,9.7 ,8.3 ,16.7 ,20.8 ,1.5 ,5.7 ,7.9 ,1.1 ,2.4 ,1.4 ,4.0 ,12.4 ,12.9 ,2.3 ,2.6 ,2.8 ,6.7 ,13.9 
Bahamas,BHS,3.0 ,1.0 ,1.6 ,2.4 ,2.5 ,4.5 ,2.1 ,1.3 ,3.2 ,2.0 ,0.7 ,1.5 ,1.9 ,-0.3 ,1.5 ,2.3 ,2.5 ,0.0 ,2.9 ,5.6 
Bahrain,BHR,1.6 ,2.4 ,2.6 ,2.0 ,3.3 ,3.5 ,2.8 ,2.0 ,-0.4 ,2.8 ,3.3 ,2.6 ,1.8 ,2.8 ,1.4 ,2.1 ,1.0 ,-2.3 ,-0.6 ,3.6 
Bangladesh,BGD,5.7 ,7.6 ,7.0 ,6.8 ,9.1 ,8.9 ,5.4 ,8.1 ,11.4 ,6.2 ,7.5 ,7.0 ,6.2 ,5.5 ,5.7 ,5.5 ,5.6 ,5.7 ,5.5 ,7.7 
Barbados,BRB,1.6 ,1.4 ,6.1 ,7.3 ,4.0 ,8.1 ,3.6 ,5.8 ,9.4 ,4.5 ,1.8 ,1.8 ,-1.1 ,1.3 ,4.7 ,3.7 ,4.1 ,,,
Belarus,BLR,28.4 ,18.1 ,10.3 ,7.0 ,8.4 ,14.8 ,12.9 ,7.7 ,53.2 ,59.2 ,18.3 ,18.1 ,13.5 ,11.8 ,6.0 ,4.9 ,5.6 ,5.5 ,9.5 ,15.2 
Belize,BLZ,2.3 ,6.4 ,-1.1 ,-7.1 ,2.3 ,6.4 ,-1.1 ,0.9 ,1.6 ,1.3 ,0.5 ,1.2 ,-0.9 ,0.7 ,1.1 ,0.3 ,0.2 ,0.1 ,3.2 ,
Benin,BEN,1.5 ,0.9 ,5.4 ,3.8 ,1.3 ,7.9 ,0.9 ,2.2 ,2.7 ,6.7 ,0.4 ,-0.5 ,0.2 ,-0.8 ,1.8 ,0.6 ,-0.7 ,3.0 ,1.7 ,1.4 
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,2.6 ,4.1 ,5.3 ,5.0 ,5.2 ,8.3 ,4.4 ,7.0 ,8.8 ,10.9 ,7.0 ,8.3 ,4.5 ,3.2 ,5.0 ,2.7 ,2.7 ,5.6 ,7.3 ,5.6 
"Bolivia, Plurinational State of",BOL,3.3 ,4.4 ,5.4 ,4.3 ,8.7 ,14.0 ,3.3 ,2.5 ,9.9 ,4.5 ,5.7 ,5.8 ,4.1 ,3.6 ,2.8 ,2.3 ,1.8 ,0.9 ,0.7 ,1.7 
Bosnia and Herzegovina,BIH,,,,6.1 ,1.5 ,7.4 ,-0.4 ,2.0 ,3.7 ,2.1 ,-0.1 ,-0.9 ,-1.0 ,-1.6 ,0.8 ,1.4 ,0.6 ,-1.1 ,2.0 ,14.0 
Botswana,BWA,9.2 ,6.9 ,8.6 ,11.6 ,7.1 ,12.7 ,8.0 ,6.9 ,8.5 ,7.5 ,5.9 ,4.4 ,3.1 ,2.8 ,3.3 ,3.2 ,2.8 ,1.9 ,7.2 ,11.7 
Brazil,BRA,14.7 ,6.6 ,6.9 ,4.2 ,3.6 ,5.7 ,4.9 ,5.0 ,6.6 ,5.4 ,6.2 ,6.3 ,9.0 ,8.7 ,3.4 ,3.7 ,3.7 ,3.2 ,8.3 ,9.3 
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,0.3 ,0.8 ,1.2 ,0.2 ,1.0 ,2.1 ,1.0 ,0.4 ,0.1 ,0.1 ,0.4 ,-0.2 ,-0.5 ,-0.3 ,-1.3 ,1.0 ,-0.4 ,1.9 ,1.7 ,3.7 
Bulgaria,BGR,2.3 ,6.1 ,5.0 ,7.3 ,8.4 ,12.3 ,2.8 ,2.4 ,4.2 ,3.0 ,0.9 ,-1.4 ,-0.1 ,-0.8 ,2.1 ,2.8 ,3.1 ,1.7 ,3.3 ,15.3 
Burkina Faso,BFA,2.0 ,-0.4 ,6.4 ,2.3 ,-0.2 ,10.7 ,2.6 ,-0.8 ,2.8 ,3.8 ,0.5 ,-0.3 ,0.7 ,0.4 ,1.5 ,2.0 ,-3.2 ,1.9 ,3.7 ,14.3 
Burundi,BDI,10.6 ,8.2 ,13.3 ,2.7 ,8.4 ,24.4 ,10.6 ,6.5 ,9.6 ,18.2 ,7.9 ,4.4 ,5.5 ,5.6 ,16.1 ,-2.8 ,-0.7 ,7.3 ,8.4 ,18.8 
Cabo Verde,CPV,1.2 ,-1.9 ,0.4 ,5.4 ,4.4 ,6.8 ,1.0 ,2.1 ,4.5 ,2.5 ,1.5 ,-0.2 ,0.1 ,-1.4 ,0.8 ,1.3 ,1.1 ,0.6 ,1.9 ,
Cambodia,KHM,0.9 ,4.3 ,6.6 ,5.8 ,8.7 ,24.1 ,-1.2 ,4.0 ,5.5 ,2.9 ,2.9 ,3.9 ,1.2 ,3.0 ,2.9 ,2.5 ,1.9 ,2.9 ,2.9 ,5.3 
Cameroon,CMR,0.6 ,0.2 ,2.0 ,5.1 ,0.9 ,5.3 ,3.0 ,1.3 ,2.9 ,2.7 ,2.1 ,1.9 ,2.7 ,0.9 ,0.6 ,1.1 ,2.5 ,2.4 ,2.3 ,6.2 
Canada,CAN,2.8 ,1.9 ,2.2 ,2.0 ,2.1 ,2.4 ,0.3 ,1.8 ,2.9 ,1.5 ,0.9 ,1.9 ,1.1 ,1.4 ,1.6 ,2.3 ,1.9 ,0.7 ,3.4 ,6.8 
Cayman Islands,CYM,,,,,,,,0.3 ,1.3 ,1.2 ,2.2 ,1.3 ,-2.3 ,-0.6 ,,,,,,
Central African Republic,CAF,4.1 ,-2.1 ,2.9 ,6.7 ,1.0 ,9.3 ,3.5 ,1.5 ,1.2 ,5.5 ,7.0 ,14.9 ,1.4 ,4.9 ,4.2 ,1.6 ,2.7 ,1.7 ,4.3 ,5.6 
Chad,TCD,-1.8 ,-5.4 ,7.9 ,8.0 ,-9.0 ,10.3 ,10.0 ,-2.1 ,2.0 ,7.5 ,0.2 ,1.7 ,4.4 ,-0.8 ,-1.5 ,4.3 ,-1.0 ,4.5 ,-0.8 ,5.8 
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,
Chile,CHL,2.8 ,1.1 ,3.1 ,3.4 ,4.4 ,8.7 ,0.4 ,1.4 ,3.3 ,3.0 ,1.8 ,4.7 ,4.3 ,3.8 ,2.2 ,2.4 ,2.6 ,3.0 ,4.5 ,11.6 
China,CHN,1.1 ,3.8 ,1.8 ,1.6 ,4.8 ,5.9 ,-0.7 ,3.2 ,5.6 ,2.6 ,2.6 ,1.9 ,1.4 ,2.0 ,1.6 ,2.1 ,2.9 ,2.4 ,1.0 ,2.0 
Colombia,COL,7.1 ,5.9 ,5.1 ,4.3 ,5.5 ,7.0 ,4.2 ,2.3 ,3.4 ,3.2 ,2.0 ,2.9 ,5.0 ,7.5 ,4.3 ,3.2 ,3.5 ,2.5 ,3.5 ,10.2 
Comoros,COM,3.8 ,4.5 ,3.0 ,3.4 ,4.5 ,1.7 ,4.4 ,3.4 ,1.8 ,6.3 ,-4.3 ,,,,,,,,,
Congo,COD,12.9 ,4.0 ,21.3 ,13.1 ,16.9 ,17.3 ,2.8 ,7.1 ,15.3 ,9.7 ,0.8 ,1.2 ,0.7 ,2.9 ,,,,,,
"Congo, Democratic Republic of the",COG,-0.6 ,2.4 ,3.1 ,6.5 ,2.7 ,5.0 ,4.4 ,0.4 ,1.8 ,5.0 ,4.6 ,0.9 ,3.2 ,3.2 ,0.5 ,1.2 ,2.2 ,1.8 ,1.7 ,3.0 
Costa Rica,CRI,9.4 ,12.3 ,13.8 ,11.5 ,9.4 ,13.4 ,7.8 ,5.7 ,4.9 ,4.5 ,5.2 ,4.5 ,0.8 ,-0.0 ,1.6 ,2.2 ,2.1 ,0.7 ,1.7 ,8.3 
Cote d'Ivoire,CIV,3.3 ,1.5 ,3.9 ,2.5 ,1.9 ,6.3 ,1.0 ,1.2 ,4.9 ,1.3 ,2.6 ,0.4 ,1.3 ,0.7 ,0.7 ,0.4 ,-1.1 ,2.4 ,4.1 ,5.3 
Croatia,HRV,1.8 ,2.1 ,3.3 ,3.2 ,2.9 ,6.1 ,2.4 ,1.0 ,2.3 ,3.4 ,2.2 ,-0.2 ,-0.5 ,-1.1 ,1.1 ,1.5 ,0.8 ,0.2 ,2.6 ,10.8 
Cuba,CUB,,,,,,,,,,,,,,,,,,,,
Curaçao,CUW,1.6 ,1.4 ,4.1 ,3.1 ,3.0 ,6.9 ,1.8 ,2.8 ,2.3 ,3.2 ,1.3 ,1.5 ,-0.5 ,-0.0 ,1.6 ,2.6 ,2.6 ,,,
Czech Republic,CZE,0.1 ,2.8 ,1.9 ,2.5 ,2.9 ,6.4 ,1.0 ,1.5 ,1.9 ,3.3 ,1.4 ,0.3 ,0.3 ,0.7 ,2.5 ,2.1 ,2.8 ,3.2 ,3.8 ,15.1 
Denmark,DNK,2.1 ,1.2 ,1.8 ,1.9 ,1.7 ,3.4 ,1.3 ,2.3 ,2.8 ,2.4 ,0.8 ,0.6 ,0.5 ,0.2 ,1.1 ,0.8 ,0.8 ,0.4 ,1.9 ,7.7 
Djibouti,DJI,2.0 ,3.1 ,3.1 ,3.5 ,5.0 ,12.0 ,1.7 ,4.0 ,5.1 ,3.7 ,2.7 ,1.3 ,-0.8 ,2.7 ,0.6 ,0.1 ,3.3 ,1.8 ,1.2 ,5.2 
Dominica,DMA,1.5 ,2.4 ,1.7 ,2.2 ,3.6 ,6.4 ,0.0 ,3.0 ,1.1 ,1.4 ,-0.0 ,0.8 ,-0.8 ,0.1 ,0.3 ,1.0 ,1.5 ,-0.7 ,,
Dominican Republic,DOM,27.4 ,51.5 ,4.2 ,7.6 ,6.1 ,10.6 ,1.4 ,6.3 ,5.8 ,3.7 ,4.8 ,3.0 ,0.8 ,1.6 ,3.3 ,3.6 ,1.8 ,3.8 ,8.2 ,8.8 
Ecuador,ECU,7.9 ,2.7 ,2.2 ,3.3 ,2.3 ,8.4 ,5.2 ,3.6 ,4.5 ,5.1 ,2.7 ,3.6 ,4.0 ,1.7 ,0.4 ,-0.2 ,0.3 ,-0.3 ,0.1 ,3.5 
Egypt,EGY,4.5 ,11.3 ,4.9 ,7.6 ,9.3 ,18.3 ,11.8 ,11.3 ,10.1 ,7.1 ,9.5 ,10.1 ,10.4 ,13.8 ,29.5 ,14.4 ,9.2 ,5.0 ,5.2 ,13.9 
El Salvador,SLV,2.1 ,4.5 ,4.7 ,4.0 ,4.6 ,6.7 ,1.1 ,1.2 ,5.1 ,1.7 ,0.8 ,1.1 ,-0.7 ,0.6 ,1.0 ,1.1 ,0.1 ,-0.4 ,3.5 ,7.2 
Equatorial Guinea,GNQ,7.3 ,4.2 ,5.6 ,4.4 ,2.8 ,6.6 ,4.7 ,7.8 ,4.8 ,3.7 ,2.9 ,4.3 ,1.7 ,1.4 ,0.7 ,1.1 ,1.5 ,4.8 ,-0.1 ,4.8 
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,7.3 ,3.4 ,4.8 ,5.3 ,8.1 ,12.7 ,7.4 ,4.5 ,6.1 ,8.9 ,5.6 ,5.7 ,5.0 ,7.8 ,6.2 ,4.8 ,2.6 ,,,
Ethiopia,ETH,13.7 ,3.3 ,10.0 ,12.3 ,17.2 ,44.4 ,8.5 ,8.1 ,33.2 ,23.6 ,7.5 ,6.9 ,9.6 ,6.6 ,10.7 ,13.8 ,15.8 ,20.4 ,26.8 ,
European Central Bank,EMU,2.1 ,2.2 ,2.5 ,2.7 ,2.5 ,4.1 ,0.4 ,1.5 ,3.3 ,2.5 ,1.2 ,0.2 ,0.0 ,0.2 ,1.4 ,1.7 ,1.4 ,0.2 ,2.4 ,8.4 
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,4.2 ,2.8 ,2.4 ,2.5 ,4.8 ,7.7 ,3.1 ,3.7 ,7.3 ,3.4 ,2.9 ,0.5 ,1.4 ,3.9 ,3.3 ,4.1 ,1.8 ,-2.6 ,0.2 ,4.5 
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2.2 ,0.4 ,3.7 ,-1.4 ,5.0 ,5.3 ,1.9 ,1.5 ,1.3 ,2.7 ,0.5 ,4.7 ,-0.3 ,2.1 ,2.7 ,4.7 ,2.5 ,1.4 ,1.1 ,4.2 
Gambia,GMB,17.0 ,14.2 ,4.8 ,2.1 ,5.4 ,4.4 ,4.6 ,5.0 ,4.8 ,4.3 ,5.7 ,5.9 ,6.8 ,7.2 ,8.0 ,6.5 ,7.1 ,5.9 ,7.4 ,11.5 
Georgia,GEO,0.8 ,5.7 ,8.2 ,9.2 ,9.2 ,10.0 ,1.7 ,7.1 ,8.5 ,-0.9 ,-0.5 ,3.1 ,4.0 ,2.1 ,6.0 ,2.6 ,4.9 ,5.2 ,9.6 ,11.9 
Ghana,GHA,29.8 ,18.0 ,15.4 ,11.7 ,10.7 ,16.5 ,19.2 ,10.7 ,8.7 ,11.2 ,11.7 ,15.5 ,17.1 ,17.5 ,12.4 ,7.8 ,7.1 ,9.9 ,10.0 ,31.3 
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,2.2 ,2.3 ,3.5 ,4.3 ,3.9 ,8.0 ,-0.3 ,3.4 ,3.0 ,2.4 ,-0.0 ,-1.0 ,-0.5 ,1.7 ,0.9 ,0.8 ,0.6 ,-0.7 ,1.2 ,
Guam,GUM,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,5.6 ,7.6 ,9.1 ,6.6 ,6.8 ,11.4 ,1.9 ,3.9 ,6.2 ,3.8 ,4.3 ,3.4 ,2.4 ,4.4 ,4.4 ,3.8 ,3.7 ,3.2 ,4.3 ,6.9 
Guinea,GIN,,,31.4 ,34.7 ,18.2 ,23.1 ,4.7 ,15.1 ,21.3 ,15.2 ,11.9 ,6.2 ,11.8 ,8.2 ,8.9 ,9.8 ,9.5 ,10.6 ,12.6 ,10.5 
Guinea-Bissau,GNB,-3.5 ,0.9 ,3.3 ,2.0 ,4.6 ,10.5 ,-1.7 ,2.5 ,5.0 ,2.1 ,1.2 ,-1.5 ,1.5 ,1.5 ,1.7 ,0.4 ,0.2 ,1.1 ,2.2 ,9.4 
Guyana,GUY,6.0 ,4.7 ,6.9 ,6.7 ,12.2 ,8.1 ,3.0 ,3.7 ,5.0 ,2.4 ,1.9 ,0.9 ,-1.0 ,0.8 ,1.9 ,1.3 ,2.1 ,1.0 ,5.0 ,
Haiti,HTI,28.7 ,21.0 ,14.0 ,11.3 ,6.6 ,15.3 ,0.4 ,4.8 ,6.3 ,5.0 ,4.8 ,3.4 ,6.7 ,11.5 ,10.7 ,12.5 ,18.7 ,22.8 ,16.8 ,34.0 
Honduras,HND,7.7 ,8.1 ,8.8 ,5.6 ,6.9 ,11.4 ,5.5 ,4.7 ,6.8 ,5.2 ,5.2 ,6.1 ,3.2 ,2.7 ,3.9 ,4.3 ,4.4 ,3.5 ,4.5 ,9.1 
"Hong Kong, China",HKG,-2.7 ,-0.3 ,0.8 ,2.0 ,2.0 ,4.3 ,0.6 ,2.3 ,5.3 ,4.1 ,4.3 ,4.4 ,3.0 ,2.4 ,1.5 ,2.4 ,2.9 ,0.3 ,1.6 ,1.9 
Hungary,HUN,4.7 ,6.7 ,3.6 ,3.9 ,8.0 ,6.0 ,4.2 ,4.9 ,3.9 ,5.7 ,1.7 ,-0.2 ,-0.1 ,0.4 ,2.3 ,2.9 ,3.3 ,3.3 ,5.1 ,14.6 
Iceland,ISL,2.1 ,3.2 ,4.0 ,6.7 ,5.1 ,12.7 ,12.0 ,5.4 ,4.0 ,5.2 ,3.9 ,2.0 ,1.6 ,1.7 ,1.8 ,2.7 ,3.0 ,2.8 ,4.4 ,8.3 
India,IND,3.8 ,3.8 ,4.2 ,5.8 ,6.4 ,8.3 ,10.9 ,12.0 ,8.9 ,9.5 ,10.0 ,6.7 ,4.9 ,4.9 ,3.3 ,3.9 ,3.7 ,6.6 ,5.1 ,6.7 
Indonesia,IDN,6.8 ,6.1 ,10.5 ,13.1 ,6.4 ,10.2 ,4.4 ,5.1 ,5.4 ,4.3 ,6.4 ,6.4 ,6.4 ,3.5 ,3.8 ,3.2 ,3.0 ,1.9 ,1.6 ,4.2 
"Iran, Islamic Republic of",IRN,16.5 ,14.8 ,13.4 ,10.0 ,17.3 ,25.4 ,13.6 ,10.1 ,26.3 ,27.3 ,36.6 ,16.6 ,12.5 ,7.2 ,8.0 ,18.0 ,39.9 ,30.6 ,43.4 ,
Iraq,IRQ,33.6 ,27.0 ,37.0 ,53.2 ,-10.1 ,12.7 ,6.9 ,2.9 ,5.8 ,6.1 ,1.9 ,2.2 ,1.4 ,0.6 ,0.2 ,0.4 ,-0.2 ,0.6 ,6.0 ,5.0 
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,
Israel,ISR,0.7 ,-0.4 ,1.3 ,2.1 ,0.5 ,4.6 ,3.4 ,2.7 ,3.5 ,1.7 ,1.6 ,0.5 ,-0.6 ,-0.6 ,0.3 ,0.8 ,0.8 ,-0.6 ,1.5 ,4.4 
Jamaica,JAM,10.1 ,13.6 ,15.1 ,8.6 ,9.2 ,22.0 ,9.6 ,12.6 ,7.6 ,6.9 ,9.3 ,8.3 ,3.7 ,2.4 ,4.4 ,3.7 ,3.9 ,5.2 ,5.9 ,10.3 
Japan,JPN,-0.3 ,-0.0 ,-0.3 ,0.2 ,0.1 ,1.4 ,-1.4 ,-0.7 ,-0.3 ,-0.0 ,0.3 ,2.8 ,0.8 ,-0.1 ,0.5 ,1.0 ,0.5 ,-0.0 ,-0.2 ,2.5 
Jordan,JOR,1.6 ,3.4 ,3.5 ,6.3 ,4.7 ,14.0 ,-0.7 ,4.8 ,4.2 ,4.5 ,4.8 ,2.9 ,-0.9 ,-0.8 ,3.3 ,4.5 ,0.8 ,0.3 ,1.3 ,4.2 
Kazakhstan,KAZ,6.4 ,6.9 ,7.6 ,8.7 ,10.8 ,17.1 ,7.3 ,7.4 ,8.4 ,5.1 ,5.8 ,6.7 ,6.7 ,14.5 ,7.4 ,6.0 ,5.2 ,6.8 ,8.0 ,
Kenya,KEN,9.8 ,11.6 ,10.3 ,14.5 ,9.8 ,26.2 ,9.2 ,4.0 ,14.0 ,9.4 ,5.7 ,6.9 ,6.6 ,6.3 ,8.0 ,4.7 ,5.2 ,5.4 ,6.1 ,7.7 
Kiribati,KIR,,,,,3.6 ,13.7 ,9.8 ,-3.9 ,1.5 ,-3.0 ,-1.5 ,2.1 ,0.6 ,1.9 ,0.4 ,0.6 ,-1.8 ,,,
"Korea, Democratic People's Republic of",PRK,,,,,,,,,,,,,,,,,,,,
"Korea, Republic of",KOR,3.5 ,3.6 ,2.8 ,2.2 ,2.5 ,4.7 ,2.8 ,2.9 ,4.0 ,2.2 ,1.3 ,1.3 ,0.7 ,1.0 ,1.9 ,1.5 ,0.4 ,0.5 ,2.5 ,5.1 
Kosovo,XKX,-1.1 ,-1.1 ,-1.4 ,0.6 ,4.4 ,9.4 ,-2.4 ,3.5 ,7.3 ,2.5 ,1.8 ,0.4 ,-0.5 ,0.3 ,1.5 ,1.1 ,2.7 ,0.2 ,3.4 ,11.6 
Kuwait,KWT,1.0 ,1.2 ,4.1 ,3.1 ,5.5 ,10.6 ,4.6 ,4.5 ,4.8 ,3.3 ,2.7 ,2.9 ,3.3 ,3.2 ,2.2 ,0.5 ,1.1 ,2.1 ,3.4 ,
