Country Name,Manganese Ore,Copper Ore,Nickel Ore,Cobalt Ore,Zinc Ore,Chromium Ore,Molybdenum Ore,Rare Earth Metals,Natural Graphite,Artificial Graphite,Lithium Oxide,Silicon,Swap Recipient
Afghanistan,-,-,-,-,0%,0%,-,-,-,-,-,-,0
Albania,-,0%,0%,-,0%,3%,-,-,-,-,-,-,1
Algeria,-,0%,-,-,0%,-,-,-,0%,0%,-,-,0
American Samoa,-,-,-,-,-,-,-,-,-,-,-,-,0
Andorra,-,-,-,-,-,-,-,-,0%,-,-,-,0
Angola,0%,-,-,-,0%,-,-,-,0%,0%,-,-,0
Antigua and Barbuda,-,-,-,-,-,-,-,0%,-,-,-,-,0
Argentina,0%,2%,-,-,0%,0%,0%,-,0%,0%,0%,-,1
Armenia,-,0%,0%,-,0%,0%,1%,-,-,-,-,-,1
Aruba,-,-,-,-,-,-,-,-,-,0%,-,-,0
Australia,20%,9%,18%,0%,16%,1%,0%,0%,0%,0%,0%,0%,1
Azerbaijan,-,0%,-,-,0%,-,-,-,-,0%,-,-,0
Bahamas,-,-,-,-,-,-,-,-,-,-,-,-,0
Bahrain,0%,0%,-,-,0%,-,-,-,0%,0%,-,0%,0
Bangladesh,0%,0%,-,-,0%,-,-,-,0%,0%,-,0%,0
Barbados,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Belarus,-,-,-,-,0%,-,-,-,0%,0%,-,0%,1
Belize,-,-,-,-,-,-,-,-,-,-,-,-,0
Benin,-,0%,-,-,-,-,-,-,-,-,-,-,0
Bermuda,-,-,-,-,-,-,-,-,-,-,-,-,0
Bhutan,-,-,-,-,-,-,-,-,0%,0%,-,0%,0
"Bolivia Plurinational State of",0%,0%,0%,-,12%,0%,-,-,0%,0%,-,-,0
Bosnia and Herzegovina,0%,0%,-,-,0%,-,-,-,-,0%,-,-,0
Botswana,0%,0%,0%,0%,-,-,0%,-,0%,0%,0%,0%,0
Brazil,8%,4%,2%,0%,0%,0%,0%,0%,6%,1%,0%,0%,1
British Virgin Islands,-,-,-,-,-,-,0%,-,-,0%,-,0%,0
Brunei Darussalam,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Bulgaria,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
Burkina Faso,0%,-,-,-,0%,-,-,-,-,-,-,0%,0
Burundi,-,-,-,-,-,-,-,0%,0%,-,-,-,0
Cabo Verde,-,-,-,-,-,-,-,-,-,-,-,-,0
Cambodia,0%,0%,-,-,-,-,-,-,-,-,-,-,0
Cameroon,0%,-,-,0%,-,-,-,-,-,0%,-,0%,0
Canada,0%,5%,4%,0%,2%,0%,4%,0%,4%,1%,1%,0%,1
Cayman Islands,-,-,-,-,-,-,-,-,-,-,-,-,0
Central African Republic,-,-,-,-,-,-,-,-,-,-,-,-,0
Chad,-,0%,-,0%,-,-,-,-,-,-,-,0%,0
Channel Islands,-,-,-,-,-,-,-,-,-,-,-,-,0
Chile,0%,29%,0%,-,1%,0%,31%,-,0%,0%,16%,-,1
Colombia,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,-,0
Comoros,-,-,-,-,-,-,-,0%,-,-,-,-,0
Congo,0%,0%,-,-,0%,-,-,-,-,0%,-,-,0
"Congo Democratic Republic of the",0%,1%,-,89%,0%,0%,-,-,-,-,-,-,0
Costa Rica,-,-,-,-,-,0%,-,-,0%,0%,-,-,0
Côte d'Ivoire,1%,0%,0%,-,-,-,-,-,-,0%,-,-,0
Croatia,-,-,-,-,0%,0%,0%,-,0%,0%,0%,0%,0
Cuba,-,-,0%,-,0%,0%,-,-,0%,0%,-,-,0
Curaçao,-,-,-,-,-,-,-,-,-,0%,-,-,0
Czech Republic,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0
Denmark,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,-,0
Djibouti,-,-,-,-,0%,0%,-,-,0%,-,-,-,0
Dominica,-,-,-,-,-,-,-,-,-,-,-,-,0
Dominican Republic,-,0%,-,-,0%,-,-,-,-,-,-,-,0
Ecuador,-,0%,-,-,0%,0%,0%,-,0%,0%,0%,-,0
Egypt,0%,0%,-,0%,0%,0%,-,0%,0%,0%,-,0%,1
El Salvador,-,-,-,-,-,-,-,-,0%,0%,-,-,0
Equatorial Guinea,0%,0%,-,-,-,-,-,-,0%,0%,-,-,0
Eritrea,-,0%,-,-,1%,-,-,-,-,-,-,-,0
Eswatini,-,0%,-,-,-,-,-,-,0%,0%,-,-,0
Ethiopia,0%,0%,0%,-,-,0%,-,-,0%,-,-,-,0
European Central Bank,2%,3%,6%,3%,16%,4%,15%,4%,11%,25%,10%,27%,1
Faroe Islands,-,-,-,-,-,-,-,-,-,0%,-,-,0
Fiji,-,0%,-,-,-,-,0%,-,0%,0%,-,-,0
French Polynesia,-,-,-,-,-,-,-,-,-,-,-,-,0
Gabon,8%,-,-,-,-,-,-,-,0%,0%,-,-,0
Gambia,-,-,-,-,-,0%,-,-,-,0%,-,-,0
Georgia,0%,1%,-,-,0%,0%,-,-,0%,0%,-,-,0
Ghana,4%,0%,-,-,0%,-,-,-,0%,0%,0%,0%,0
Gibraltar,-,0%,-,-,-,0%,-,-,-,-,-,-,0
Greenland,-,-,-,-,-,-,-,-,-,-,-,-,0
Grenada,-,-,-,-,-,-,-,-,-,-,-,-,0
Guam,-,-,-,-,-,-,-,-,-,-,-,-,0
Guatemala,0%,0%,1%,-,0%,0%,-,0%,0%,0%,-,0%,0
Guinea,-,-,-,-,0%,-,-,0%,0%,0%,-,-,0
Guinea-Bissau,-,-,-,-,-,-,-,-,-,-,-,-,0
Guyana,0%,-,-,-,-,-,-,-,0%,0%,-,-,0
Haiti,-,-,-,-,-,-,-,-,-,-,-,-,0
Honduras,0%,0%,-,-,0%,-,-,-,-,0%,-,-,0
"Hong Kong China",0%,0%,0%,1%,0%,0%,0%,2%,0%,1%,0%,0%,1
Hungary,0%,-,0%,-,0%,0%,-,0%,0%,0%,-,0%,1
Iceland,0%,0%,-,-,0%,-,-,-,0%,0%,-,0%,1
India,0%,0%,0%,0%,1%,3%,0%,0%,0%,2%,1%,0%,0
Indonesia,0%,8%,15%,0%,0%,0%,0%,-,0%,0%,0%,0%,1
"Iran Islamic Republic of",0%,0%,0%,-,0%,2%,0%,-,0%,0%,0%,0%,0
Iraq,-,-,-,-,0%,-,-,-,-,-,-,-,0
Isle of Man,-,-,-,-,-,-,-,-,-,-,-,-,0
Israel,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0
Jamaica,-,-,-,-,0%,-,0%,-,0%,-,-,-,0
Japan,0%,0%,0%,0%,0%,0%,0%,3%,4%,15%,2%,11%,1
Jordan,0%,0%,0%,-,0%,-,-,-,-,0%,-,0%,0
Kazakhstan,2%,2%,0%,-,2%,8%,0%,0%,0%,0%,0%,0%,1
Kenya,0%,0%,-,0%,0%,0%,-,-,0%,0%,0%,0%,0
Kiribati,-,-,-,-,-,-,-,-,-,-,-,-,0
"Korea Democratic People's Republic of",-,0%,0%,-,0%,0%,0%,-,1%,0%,-,0%,0
"Korea Republic of",0%,0%,0%,0%,0%,0%,1%,0%,0%,2%,0%,16%,1
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,0
Kuwait,0%,0%,-,0%,0%,-,0%,-,0%,0%,-,0%,0
Kyrgyzstan,0%,0%,-,-,-,0%,0%,-,0%,0%,-,0%,0
Lao People's Democratic Republic,0%,1%,-,-,0%,-,0%,0%,0%,-,-,-,0
Lebanon,-,-,-,0%,0%,-,-,0%,0%,0%,-,-,0
Lesotho,-,-,-,-,-,-,-,-,-,0%,-,-,0
Liberia,-,-,-,-,-,-,0%,-,-,-,-,-,0
"Libya State of",0%,-,-,-,-,-,-,-,0%,0%,-,-,0
Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-,0
"Macao SAR China",-,-,-,-,-,-,-,-,-,-,-,-,1
Madagascar,0%,0%,-,-,-,1%,-,0%,2%,0%,-,-,0
Malawi,-,0%,-,0%,-,-,0%,-,0%,-,-,-,0
Malaysia,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,3%,1
Maldives,-,-,-,-,-,-,-,-,-,-,-,-,0
Mali,0%,0%,-,0%,-,-,-,-,0%,-,-,-,0
Marshall Islands,0%,-,-,-,-,-,-,-,-,0%,-,-,0
Mauritania,0%,0%,0%,-,0%,0%,0%,-,0%,-,-,-,0
Mauritius,-,-,-,-,-,-,-,-,-,0%,-,-,0
Mexico,0%,3%,0%,0%,5%,0%,6%,0%,1%,2%,0%,0%,0
"Micronesia Federated States of",-,-,-,-,-,-,-,-,-,-,-,-,0
"Moldova Republic of",-,-,-,-,-,-,-,-,-,-,-,-,0
Monaco,-,-,-,-,-,-,-,-,-,-,-,-,0
Mongolia,0%,3%,-,-,1%,-,1%,-,0%,-,-,-,1
Montenegro,-,0%,-,-,0%,0%,-,-,0%,0%,-,-,0
Morocco,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,-,-,1
Mozambique,0%,0%,-,-,0%,0%,-,-,1%,0%,-,-,0
Myanmar,0%,0%,0%,-,0%,0%,0%,-,-,-,-,-,0
Namibia,0%,0%,0%,0%,1%,-,-,0%,0%,0%,0%,0%,0
Nauru,-,-,-,-,-,-,-,-,-,-,-,0%,0
Nepal,-,-,-,-,-,-,-,-,-,-,0%,-,0
New Caledonia,-,-,11%,0%,-,0%,-,-,-,-,-,-,0
New Zealand,-,-,-,-,0%,0%,-,-,0%,0%,0%,0%,1
Nicaragua,-,0%,-,-,-,-,-,-,-,-,-,-,0
Niger,0%,0%,-,-,-,-,-,-,0%,0%,0%,-,0
Nigeria,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,1
North Macedonia,0%,0%,0%,-,0%,0%,-,-,0%,0%,-,-,0
Northern Mariana Islands,-,-,-,-,-,-,-,-,-,-,-,0%,0
Norway,0%,0%,0%,-,0%,0%,0%,0%,-,3%,0%,1%,0
Oman,0%,0%,0%,0%,0%,2%,0%,-,0%,0%,-,0%,0
Pakistan,0%,0%,0%,0%,0%,4%,0%,-,0%,0%,-,0%,1
Palau,-,-,-,-,-,-,-,-,0%,-,-,-,0
Panama,-,1%,-,-,-,0%,0%,-,0%,0%,0%,-,0
Papua New Guinea,0%,0%,-,-,-,0%,-,-,-,0%,-,-,0
Paraguay,-,-,-,-,-,0%,-,0%,0%,0%,-,0%,0
Peru,0%,16%,0%,0%,16%,0%,12%,0%,0%,0%,-,-,0
Philippines,0%,1%,21%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0
Poland,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0
Puerto Rico,-,-,-,-,-,-,-,-,-,-,-,-,0
Qatar,0%,0%,-,0%,0%,-,0%,0%,0%,0%,0%,-,1
Romania,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0
Russian Federation,0%,0%,2%,0%,1%,0%,0%,0%,0%,1%,6%,0%,1
Rwanda,-,-,0%,0%,-,0%,0%,-,0%,0%,0%,-,0
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,0%,-,-,-,0
Saint Lucia,-,-,-,-,-,-,0%,-,-,-,-,-,0
Saint Martin (French part),-,-,-,-,-,-,-,-,-,-,-,-,0
Saint Vincent and the Grenadines,-,-,-,-,0%,-,-,-,-,-,-,-,0
Samoa,-,-,-,-,-,-,-,-,0%,-,-,-,0
San Marino,-,-,-,-,-,-,-,-,-,-,-,-,0
Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-,0
Saudi Arabia,-,0%,-,-,0%,0%,0%,0%,0%,0%,0%,0%,0
Senegal,0%,-,-,-,0%,0%,-,-,0%,0%,-,-,0
Serbia,0%,0%,0%,-,0%,0%,-,-,0%,0%,0%,0%,1
Seychelles,-,-,-,-,-,-,-,-,-,-,-,0%,0
Sierra Leone,0%,-,-,0%,0%,-,-,-,-,0%,-,-,0
Singapore,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1
Sint Maarten (Dutch part),-,-,-,-,-,-,-,-,-,0%,-,-,0
Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-,0
Somalia,-,0%,-,-,0%,-,-,-,-,-,-,-,0
South Africa,49%,1%,1%,2%,1%,57%,0%,0%,0%,1%,0%,0%,1
South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,0
Sri Lanka,0%,0%,-,-,-,-,-,-,1%,0%,-,0%,1
Sudan,0%,0%,-,-,-,0%,-,-,-,-,-,-,0
Suriname,-,-,-,-,-,-,-,-,-,-,-,-,1
Sweden,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0
Switzerland,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1
Syrian Arab Republic,0%,0%,0%,-,0%,-,0%,-,0%,0%,-,0%,0
"Taipei Chinese",0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0
Tajikistan,0%,0%,-,-,1%,-,-,-,-,-,-,-,1
"Tanzania United Republic of",2%,0%,0%,0%,0%,0%,0%,-,0%,0%,-,0%,0
Thailand,0%,0%,0%,0%,0%,0%,1%,10%,0%,0%,0%,0%,1
Timor-Leste,-,-,-,-,-,-,-,-,-,-,-,-,0
Togo,0%,-,-,-,-,-,-,0%,-,-,-,-,0
Tonga,-,-,-,-,-,-,-,-,-,-,-,-,0
Trinidad and Tobago,-,0%,-,-,0%,-,0%,-,-,0%,-,-,0
Tunisia,-,0%,-,-,0%,-,0%,0%,0%,0%,0%,-,0
Türkiye,0%,1%,0%,0%,3%,13%,0%,0%,0%,0%,0%,0%,1
Turkmenistan,-,-,-,-,-,-,-,-,0%,-,-,-,0
Turks and Caicos Islands,-,-,-,-,-,-,-,-,-,0%,-,-,0
Tuvalu,-,-,-,-,-,-,-,-,-,-,-,-,0
Uganda,0%,0%,0%,0%,0%,-,-,-,0%,0%,0%,0%,0
Ukraine,0%,0%,0%,-,0%,0%,0%,0%,1%,1%,0%,0%,1
United Arab Emirates,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1
United Kingdom,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,1%,1%,1
United States of America,0%,4%,5%,1%,12%,0%,23%,5%,5%,12%,25%,29%,0
Uruguay,-,-,-,-,-,0%,-,-,0%,-,-,-,0
Uzbekistan,0%,0%,-,-,0%,-,-,-,-,0%,-,-,1
Vanuatu,0%,-,-,-,-,-,-,-,-,-,-,-,0
"Venezuela Bolivarian Republic of",-,-,0%,-,0%,-,-,-,0%,0%,-,0%,0
Viet Nam,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,-,0%,0
Virgin Islands (U.S.),-,-,-,-,-,-,-,-,-,-,-,-,0
West Bank and Gaza,-,0%,0%,-,0%,-,-,-,-,-,-,-,0
Yemen,-,0%,-,-,0%,-,-,0%,-,0%,-,-,0
Zambia,0%,0%,1%,2%,0%,0%,-,-,0%,0%,-,0%,0
Zimbabwe,0%,0%,11%,0%,0%,1%,-,-,0%,0%,0%,0%,0